district,mandal,village,lat,long,date,value
BHUPALPALLY,Palmela,Lenkalagadda,80.129555,18.674833,01/08/22,6.93
BHUPALPALLY,Palmela,Sarvaipet,80.238166,18.683222,01/08/22,8.31
BHUPALPALLY,Regonda,Gorikothapally,79.8145,18.1796,01/08/22,3.14
BHUPALPALLY,Regonda,Regonda,79.7775,18.24,01/08/22,4.82
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.625,18.418,01/08/22,3.79
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45018,17.445016,01/08/22,
HYDERABAD,Ammerpet,S.R.Nagar,78.443916,17.442333,01/08/22,18.51
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.433853,17.452381,01/08/22,11.89
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.449566,17.382154,01/08/22,2.34
HYDERABAD,Asifnagar,Himayanagar,78.44525,17.397638,01/08/22,1.15
HYDERABAD,Asifnagar,Kulsanapur,78.437,17.374,01/08/22,3.37
HYDERABAD,Bandlaguda,Chandraingutta,78.484,17.333,01/08/22,10.15
HYDERABAD,Bandlaguda,Bahadurpura,78.458,17.351,01/08/22,1
HYDERABAD,Charminar,Darul Shifa,78.485,17.381,01/08/22,3.07
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.484698,17.409199,01/08/22,3.55
HYDERABAD,Himayatnagar,Indira Park,78.496983,17.398141,01/08/22,1.44
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.450174,17.428044,01/08/22,3.51
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.44964,17.427717,01/08/22,3.59
HYDERABAD,Khairatabad,Khairathabad,78.461,17.411,01/08/22,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.409,01/08/22,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.505605,17.42697,01/08/22,2.7
HYDERABAD,Maredpally,Maredpally(s),78.509,17.441,01/08/22,6.23
HYDERABAD,Musheerabad,Musheerabad,78.512,17.422,01/08/22,5.34
HYDERABAD,Nampally,Nampally,78.474,17.385,01/08/22,2.35
HYDERABAD,Saidabad,Juvinile home,78.508,17.361,01/08/22,1.22
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.483009,17.435418,01/08/22,1.3
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,01/08/22,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.415346,17.412964,01/08/22,1.4
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.493825,17.463314,01/08/22,3.81
JAGITYAL,Beerpur,Kandlapalle,78.961055,19.027722,01/08/22,0.81
JAGITYAL,Dharmapuri,Dharmapuri,79.101944,18.946944,01/08/22,3.18
JAGITYAL,Dharmapuri,Jaina,79.0761,19.0106,01/08/22,3.63
JAGITYAL,Gollapalle,Gollapalli,79.0522,18.7906,01/08/22,2.03
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,78.579444,18.898611,01/08/22,1.89
