district,mandal,village,lat,long,date,value
BHUPALPALLY,Palmela,Lenkalagadda,80.129555,18.674833,01/04/22,15.01
BHUPALPALLY,Palmela,Sarvaipet,80.238166,18.683222,01/04/22,15.32
BHUPALPALLY,Regonda,Gorikothapally,79.8145,18.1796,01/04/22,7.26
BHUPALPALLY,Regonda,Regonda,79.7775,18.24,01/04/22,6.89
BHUPALPALLY,Tekumatla,Ramakrishnapuram,79.625,18.418,01/04/22,5.13
HYDERABAD,Ammerpet,"DIRECTOR WOMEN AND CHILD WELFARE, YOUSUFGUDA",78.45018,17.445016,01/04/22,
HYDERABAD,Ammerpet,S.R.Nagar,78.443916,17.442333,01/04/22,21.53
HYDERABAD,Ammerpet,"STDC Chest Hospital, Erragadda",78.433853,17.452381,01/04/22,16.13
HYDERABAD,Asifnagar,"Govt. Polytechnic, Masab Tank.",78.449566,17.382154,01/04/22,8.15
HYDERABAD,Asifnagar,Himayanagar,78.44525,17.397638,01/04/22,3.03
HYDERABAD,Asifnagar,Kulsanapur,78.437,17.374,01/04/22,6.85
HYDERABAD,Bandlaguda,Chandraingutta,78.484,17.333,01/04/22,13.65
HYDERABAD,Bandlaguda,Bahadurpura,78.458,17.351,01/04/22,1.95
HYDERABAD,Charminar,Darul Shifa,78.485,17.381,01/04/22,6.86
HYDERABAD,Himayatnagar,"Fever Hospital, Nallakunta",78.484698,17.409199,01/04/22,6.21
HYDERABAD,Himayatnagar,Indira Park,78.496983,17.398141,01/04/22,3.23
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.450174,17.428044,01/04/22,8.94
HYDERABAD,Khairatabad,"CME premises, Chinthalbasti",78.44964,17.427717,01/04/22,9.05
HYDERABAD,Khairatabad,Khairathabad,78.461,17.411,01/04/22,
HYDERABAD,Khairatabad,T.S..Secretariat,78.47,17.409,01/04/22,
HYDERABAD,Maredpally,"Govt.Jr.College,West Maredpally",78.505605,17.42697,01/04/22,8.01
HYDERABAD,Maredpally,Maredpally(s),78.509,17.441,01/04/22,16.52
HYDERABAD,Musheerabad,Musheerabad,78.512,17.422,01/04/22,7.8
HYDERABAD,Nampally,Nampally,78.474,17.385,01/04/22,4.2
HYDERABAD,Saidabad,Juvinile home,78.508,17.361,01/04/22,4.91
HYDERABAD,Secunderabad,"Sanjeevaiah Park, Hussian Sagar.",78.483009,17.435418,01/04/22,3.45
HYDERABAD,Shaikpet,Shaikpet,78.45,17.42,01/04/22,
HYDERABAD,Shaikpet,"Vengal Rao Park, Srinagar colony",78.415346,17.412964,01/04/22,4.81
HYDERABAD,Tirumalgiri,"NIMH,Hasmathpet",78.493825,17.463314,01/04/22,13.05
JAGITYAL,Beerpur,Kandlapalle,78.961055,19.027722,01/04/22,3.18
JAGITYAL,Dharmapuri,Dharmapuri,79.101944,18.946944,01/04/22,7.12
JAGITYAL,Dharmapuri,Jaina,79.0761,19.0106,01/04/22,6.49
JAGITYAL,Gollapalle,Gollapalli,79.0522,18.7906,01/04/22,5.84
JAGITYAL,Ibrahimpatnam,Ibrahimpatnam,78.579444,18.898611,01/04/22,3.16
JAGITYAL,Jagtial,Jagityal,78.8461,18.8252,01/04/22,7.85
JAGITYAL,Jagityal_Rural,Morapally,78.893939,18.790181,01/04/22,2.58
JAGITYAL,Kathlapur,Kathalapur,78.689722,18.752777,01/04/22,2.52
JAGITYAL,Kodimial,Chepial,78.935833,18.624722,01/04/22,7.85
JAGITYAL,Koratla,Ilapur,78.7039,18.8561,01/04/22,8.73
JAGITYAL,Koratla,Korutla,78.706388,18.818611,01/04/22,8.74
JAGITYAL,Mallapur,Mallapur,78.7064,18.9647,01/04/22,7.43
JAGITYAL,Mallapur,VV Raopet,78.770044,18.993948,01/04/22,8.38
JAGITYAL,Malial,Nukapalli,78.9222,18.7094,01/04/22,6.27
JAGITYAL,Medipalle,Desaipet,,,01/04/22,6.28
JAGITYAL,Medipalle,Katlakunta,78.813333,18.843888,01/04/22,4.59
JAGITYAL,Medipalle,Rangapur,78.792333,18.758416,01/04/22,2.54
JAGITYAL,Metpalle,Metpalli,78.620555,18.847777,01/04/22,
JAGITYAL,Metpalle,Atmakur,78.620111,18.752194,01/04/22,10.47
JAGITYAL,Metpalle,Bandalingapur,78.5853,18.8309,01/04/22,7.96
JAGITYAL,Metpalle,Metla Chittapur,78.588005,18.781131,01/04/22,3.16
JAGITYAL,Pegadapalle,Pegadapalli,79.064444,18.706388,01/04/22,4.72
JAGITYAL,Raikal,Bornapally,78.8235,19.0265,01/04/22,4.13
JAGITYAL,Raikal,Itikyal,78.760618,18.9192,01/04/22,3.15
JAGITYAL,Raikal,Raikal,78.802852,18.910338,01/04/22,1.42
JAGITYAL,Raikal,Vodde lingapur,78.837222,18.959166,01/04/22,0.83
JAGITYAL,Sarangapur,Rachapalli,78.931444,18.931444,01/04/22,5.18
JAGITYAL,Sarangapur,Sarangapur,78.958055,18.929722,01/04/22,6.73
JAGITYAL,Velgatoor,Chegyam,79.2736,18.8145,01/04/22,3.79
JAGITYAL,Velgatoor,Stambampally,79.161,18.861,01/04/22,5.42
JAGITYAL,Velgatoor,Velgatur,79.1697,18.8353,01/04/22,5.33
JANGAON,Bachannapeta,Bachannapet,79.0422,17.7908,01/04/22,6.27
JANGAON,Bachannapeta,Padamati Keshapur,78.9394,17.8383,01/04/22,8.84
JANGAON,Chilpur,Kistajigudem,79.2958,17.8772,01/04/22,9.01
JANGAON,Chilpur,Malkapur,79.3069,17.9341,01/04/22,10.63
JANGAON,Devaruppala,Devaruppula,79.3562,17.5374,01/04/22,4.53
